   0.NN   ; 1.input ; 1.speed ; 1.ksiD ; 1.density ; 1.output ; 1.delay ; 2.input ; 2.speed ; 2.ksiD ; 2.density ; 2.output ; 2.delay ; 3.input ; 3.speed ; 3.ksiD ; 3.density ; 3.output ; 3.delay ; 4.input ; 4.speed ; 4.ksiD ; 4.density ; 4.output ; 4.delay ; 5.input ; 5.speed ; 5.ksiD ; 5.density ; 5.output ; 5.delay ; 6.input ; 6.speed ; 6.ksiD ; 6.density ; 6.output ; 6.delay ; 7.input ; 7.speed ; 7.ksiD ; 7.density ; 7.output ; 7.delay ; 8.input ; 8.speed ; 8.ksiD ; 8.density ; 8.output ; 8.delay 
   6.5600 ;  0.3045 ;  0.5822 ; 1.0000 ;    0.5230 ;   0.3114 ;  1.9990 ;  0.4020 ;  0.4309 ; 0.5000 ;    0.9330 ;   0.0965 ;  0.7960 ;  0.4078 ;  1.0666 ; 0.7000 ;    0.3824 ;   0.0607 ;  0.8550 ;  0.0920 ;  0.4491 ; 0.8000 ;    0.2049 ;   0.0317 ;  0.8830 ;  0.0041 ;  1.4973 ; 1.5000 ;    0.0027 ;   0.3499 ;  1.5300 ;  0.4423 ;  0.6160 ; 1.0000 ;    0.7179 ;   0.3559 ;  0.8560 ;  0.1424 ;  1.6965 ; 1.5000 ;    0.0839 ;   0.2724 ;  1.1940 ;  0.2135 ;  1.0693 ; 0.6000 ;    0.1997 ;   0.4692 ;  0.3980 
  10.8400 ;  0.3267 ;  0.3705 ; 1.0000 ;    0.8818 ;   0.3311 ;  1.9980 ;  0.0967 ;  0.9019 ; 0.5000 ;    0.1072 ;   0.0016 ;  0.8640 ;  0.3327 ;  0.3757 ; 0.7000 ;    0.8856 ;   0.0077 ;  0.9580 ;  0.5556 ;  1.2343 ; 0.8000 ;    0.4501 ;   0.7750 ;  0.9300 ;  0.3855 ;  0.7966 ; 1.5000 ;    0.4839 ;   0.0022 ;  1.5100 ;  0.7850 ;  1.0545 ; 1.0000 ;    0.7444 ;   0.6016 ;  0.8350 ;  0.2406 ;  1.6382 ; 1.5000 ;    0.1469 ;   0.1937 ;  1.1970 ;  0.3610 ;  0.7306 ; 0.6000 ;    0.4941 ;   0.1559 ;  0.4090 
  12.4000 ;  0.2423 ;  0.6858 ; 1.0000 ;    0.3534 ;   0.2489 ;  1.9990 ;  0.3769 ;  0.3142 ; 0.5000 ;    1.1994 ;   0.1335 ;  0.7120 ;  0.3824 ;  0.9704 ; 0.7000 ;    0.3941 ;   0.3953 ;  1.0240 ;  0.5691 ;  0.9660 ; 0.8000 ;    0.5891 ;   0.4666 ;  0.8890 ;  0.5690 ;  0.5670 ; 1.5000 ;    1.0036 ;   0.0275 ;  1.4900 ;  0.8894 ;  1.6600 ; 1.0000 ;    0.5358 ;   0.6028 ;  0.9200 ;  0.2411 ;  0.9958 ; 1.5000 ;    0.2421 ;   0.1358 ;  1.1950 ;  0.3617 ;  1.0954 ; 0.6000 ;    0.3302 ;   0.1766 ;  0.4420 
  22.3200 ;  0.2030 ;  0.7216 ; 1.0000 ;    0.2814 ;   0.2092 ;  1.9990 ;  0.2970 ;  0.3684 ; 0.5000 ;    0.8063 ;   0.2057 ;  0.6750 ;  0.4149 ;  0.7030 ; 0.7000 ;    0.5902 ;   0.3101 ;  1.0330 ;  0.5164 ;  1.2851 ; 0.8000 ;    0.4018 ;   0.7292 ;  0.9360 ;  0.6303 ;  0.6284 ; 1.5000 ;    1.0030 ;   0.1036 ;  1.4460 ;  1.1430 ;  0.9851 ; 1.0000 ;    1.1602 ;   1.1092 ;  0.9100 ;  0.4437 ;  1.8585 ; 1.5000 ;    0.2387 ;   0.8869 ;  1.1810 ;  0.6655 ;  0.9258 ; 0.6000 ;    0.7189 ;   0.2144 ;  0.4010 
  27.1600 ;  0.2132 ;  0.2501 ; 1.0000 ;    0.8525 ;   0.2081 ;  2.0000 ;  0.0967 ;  0.6381 ; 0.5000 ;    0.1516 ;   0.7988 ;  0.6980 ;  1.0070 ;  1.1243 ; 0.7000 ;    0.8957 ;   1.0314 ;  0.8940 ;  0.0278 ;  0.8384 ; 0.8000 ;    0.0331 ;   0.1748 ;  0.9260 ;  0.6626 ;  0.5027 ; 1.5000 ;    1.3179 ;   0.0393 ;  1.4670 ;  1.2455 ;  1.1955 ; 1.0000 ;    1.0418 ;   1.2651 ;  0.8360 ;  0.5060 ;  1.8683 ; 1.5000 ;    0.2708 ;   0.3696 ;  1.1830 ;  0.7590 ;  1.2603 ; 0.6000 ;    0.6022 ;   1.0227 ;  0.4470 
  30.2300 ;  0.1562 ;  0.7451 ; 1.0000 ;    0.2096 ;   0.1618 ;  1.9990 ;  0.1822 ;  0.5039 ; 0.5000 ;    0.3616 ;   0.4477 ;  0.6610 ;  0.6095 ;  0.4398 ; 0.7000 ;    1.3857 ;   0.2347 ;  0.9940 ;  0.2191 ;  1.1876 ; 0.8000 ;    0.1845 ;   0.4198 ;  0.9400 ;  0.2303 ;  1.2723 ; 1.5000 ;    0.1810 ;   1.6405 ;  1.4830 ;  2.2950 ;  0.6020 ; 1.0000 ;    3.8123 ;   0.5581 ;  0.8580 ;  0.2233 ;  1.1393 ; 1.5000 ;    0.1960 ;   0.1809 ;  1.2360 ;  0.3349 ;  2.0623 ; 0.6000 ;    0.1624 ;   1.2108 ;  0.4540 
  74.7000 ;  0.3313 ;  0.4739 ; 1.0000 ;    0.6991 ;   0.3376 ;  1.9990 ;  0.2727 ;  0.6900 ; 0.5000 ;    0.3953 ;   0.0568 ;  0.8460 ;  0.3944 ;  0.6341 ; 0.7000 ;    0.6219 ;   0.0057 ;  0.8760 ;  0.1202 ;  1.0529 ; 0.8000 ;    0.1142 ;   0.2958 ;  0.9350 ;  0.5690 ;  0.7500 ; 1.5000 ;    0.7587 ;   0.1683 ;  1.4390 ;  0.4699 ;  1.4556 ; 1.0000 ;    0.3228 ;   1.9155 ;  0.9220 ;  0.7662 ;  0.8318 ; 1.5000 ;    0.9212 ;   0.1653 ;  1.2010 ;  1.1493 ;  1.8859 ; 0.6000 ;    0.6094 ;   0.2995 ;  0.4550 
  74.7900 ;  0.3320 ;  0.4055 ; 1.0000 ;    0.8187 ;   0.3373 ;  1.9990 ;  0.1565 ;  0.8436 ; 0.5000 ;    0.1855 ;   0.0179 ;  0.8610 ;  0.3552 ;  0.4058 ; 0.7000 ;    0.8751 ;   0.0052 ;  0.9260 ;  0.4322 ;  1.3124 ; 0.8000 ;    0.3293 ;   0.6223 ;  0.9400 ;  0.6030 ;  0.5332 ; 1.5000 ;    1.1309 ;   0.0258 ;  1.4840 ;  0.6533 ;  1.5350 ; 1.0000 ;    0.4256 ;   2.6067 ;  0.8660 ;  1.0427 ;  0.9898 ; 1.5000 ;    1.0534 ;   0.0980 ;  1.2380 ;  1.5640 ;  1.4038 ; 0.6000 ;    1.1141 ;   0.7333 ;  0.4000 
  86.2900 ;  0.1876 ;  0.7315 ; 1.0000 ;    0.2564 ;   0.1936 ;  1.9990 ;  0.2601 ;  0.4064 ; 0.5000 ;    0.6402 ;   0.2576 ;  0.6660 ;  0.4511 ;  0.6011 ; 0.7000 ;    0.7506 ;   0.2885 ;  1.0240 ;  0.4322 ;  1.3124 ; 0.8000 ;    0.3293 ;   0.6223 ;  0.9410 ;  0.5293 ;  0.8208 ; 1.5000 ;    0.6448 ;   0.2435 ;  1.4390 ;  1.1543 ;  0.7150 ; 1.0000 ;    1.6146 ;   0.7044 ;  0.8950 ;  0.2817 ;  1.8183 ; 1.5000 ;    0.1550 ;   2.6193 ;  1.1870 ;  0.4226 ;  1.4038 ; 0.6000 ;    0.3011 ;   0.6681 ;  0.4010 
  86.4900 ;  0.2808 ;  0.6317 ; 1.0000 ;    0.4444 ;   0.2876 ;  1.9990 ;  0.4163 ;  0.3451 ; 0.5000 ;    1.2062 ;   0.1084 ;  0.7610 ;  0.3960 ;  1.1233 ; 0.7000 ;    0.3525 ;   0.2290 ;  0.8980 ;  0.3282 ;  0.5265 ; 0.8000 ;    0.6234 ;   0.0037 ;  0.8530 ;  0.1374 ;  1.1792 ; 1.5000 ;    0.1165 ;   0.0128 ;  1.5270 ;  0.2456 ;  1.2304 ; 1.0000 ;    0.1996 ;   0.6023 ;  0.8370 ;  0.2409 ;  0.8270 ; 1.5000 ;    0.2913 ;   0.1261 ;  1.2380 ;  0.3614 ;  2.0372 ; 0.6000 ;    0.1774 ;   2.3074 ;  0.4510 
